sigla;dsc_sigla
klex1;KLEx1º – Carga de Trabalho Líquida dos Magistrados na Fase de Execução do 1º Grau
klexje;KLExJE – Carga de Trabalho Líquida dos Magistrados na Fase de Execução dos Juizados Especiais
klje;KLJE – Carga de Trabalho Líquida dos Magistrados dos Juizados Especiais
klstm;KLSTM  – Carga de Trabalho Líquida dos Magistrados no STM
kltr;KLTR – Carga de Trabalho Líquida dos Magistrados nas Turmas Recursais
ks;KS - Carga de Trabalho por Servidor da Área Judiciária
ks1;KS1 - Carga de Trabalho por Servidor da Área Judiciária no 1º Grau
ks2;KS2 - Carga de Trabalho por Servidor da Área Judiciária no 2º Grau
ksc1;KSC1 - Carga de Trabalho por Servidor da Área Judiciária na Fase de Conhecimento do 1º Grau
kscje;KSCJE - Carga de Trabalho por Servidor da Área Judiciária na Fase de Conhecimento dos Juizados Especiais
ksex1;KSEx1 - Carga de Trabalho por Servidor da Área Judiciária na Fase de Execução do 1º Grau
ksexje;KSExJE - Carga de Trabalho por Servidor da Área Judiciária na Fase de Execução dos Juizados Especiais
ksje;KSJE - Carga de Trabalho por Servidor da Área Judiciária nos Juizados Especiais
kstm;KSTM – Carga de Trabalho Total dos Magistrados no STM
kstr;KSTR - Carga de Trabalho por Servidor da Área Judiciária nas Turmas Recursais
kstru;KSTRU - Carga de Trabalho por Servidor da Área Judiciária nas Turmas Regionais de Uniformização
ktr;KTR - Carga de Trabalho dos Magistrados nas Turmas Recursais
ktru;KTRU - Carga de Trabalho dos Magistrados nas Turmas Regionais de Uniformização
mag;Mag - Total de Magistrados
mag1;Mag1º - Total de Magistrados no 1º Grau
mag2;Mag2º - Total de Magistrados no 2º Grau
magaj;Número de magistrados afastados
magaj1;MagAJ1º - Número de Magistrados Afastados da Jurisdição no 1º Grau
magajje;MagAJJE - Número de Magistrados Afastados da Jurisdição nos Juizados Especiais
magajtr;MagAJTR - Número de Magistrados Afastados da Jurisdição nas Turmas Recursais
mage;MagE - Total de Cargos de Magistrado Existentes
mage1;MagE1º - Número de Cargos Existentes de Magistrado no 1º Grau
mage2;MagE2º - Número de Cargos Existentes de Magistrado no 2º Grau
mageje;MagEJe - Número de Cargos Existentes de Magistrado nos Juizados Especiais
magesub2;MagESub2º - Número de Cargos Existentes de Juiz Substituto no 2º Grau
magetit2;MagEtit2º – Número de Cargos Existentes de Magistrado Titular no 2º Grau
magje;MagJE - Total de Magistrados nos Juizados Especiais
magp;Número de cargos de Magistrado Providos
magp2;MagP2º - Número de Cargos Providos de Magistrado no 2º Grau
magpac1trje;MagPAc1TRJE - Número de Cargos Providos de Magistrado que Acumulam Função no 1º Grau, em Turmas Recursais ou Juizados Especiais
magpacje1;MagPAcJe1º - Número de Cargos Providos de Magistrado no 1º Grau que Acumulam Função em Juizados Especiais
magpactr1;MagPAcTr1º - Número de Cargos Providos de Magistrado no 1º Grau que Acumulam Função em Turmas Recursais
